sid_unique_ID,domain,company,address,city,state,address,country,phone,sid_name,annual_sales
7948280,,0 Touch Marketing,1230 NW 13th St Ste 300,0Boca Raton,0FL,0123 NW 13th St Ste 300,0United States,0561-368-5067,0MANAGEMENT CONSULTING SERVICES,"0202,800,000"
7948281,,1 Touch Marketing,1231 NW 13th St Ste 300,1Boca Raton,1FL,1123 NW 13th St Ste 300,1United States,1561-368-5067,1MANAGEMENT CONSULTING SERVICES,"1202,800,000"
7948282,,2 Touch Marketing,1232 NW 13th St Ste 300,2Boca Raton,2FL,2123 NW 13th St Ste 300,2United States,2561-368-5067,2MANAGEMENT CONSULTING SERVICES,"2202,800,000"
7948283,,3 Touch Marketing,1233 NW 13th St Ste 300,3Boca Raton,3FL,3123 NW 13th St Ste 300,3United States,3561-368-5067,3MANAGEMENT CONSULTING SERVICES,"3202,800,000"
7948284,,4 Touch Marketing,1234 NW 13th St Ste 300,4Boca Raton,4FL,4123 NW 13th St Ste 300,4United States,4561-368-5067,4MANAGEMENT CONSULTING SERVICES,"4202,800,000"
7948285,,5 Touch Marketing,1235 NW 13th St Ste 300,5Boca Raton,5FL,5123 NW 13th St Ste 300,5United States,5561-368-5067,5MANAGEMENT CONSULTING SERVICES,"5202,800,000"
7948286,,6 Touch Marketing,1236 NW 13th St Ste 300,6Boca Raton,6FL,6123 NW 13th St Ste 300,6United States,6561-368-5067,6MANAGEMENT CONSULTING SERVICES,"6202,800,000"
7948287,,7 Touch Marketing,1237 NW 13th St Ste 300,7Boca Raton,7FL,7123 NW 13th St Ste 300,7United States,7561-368-5067,7MANAGEMENT CONSULTING SERVICES,"7202,800,000"
7948288,,8 Touch Marketing,1238 NW 13th St Ste 300,8Boca Raton,8FL,8123 NW 13th St Ste 300,8United States,8561-368-5067,8MANAGEMENT CONSULTING SERVICES,"8202,800,000"
7948289,,9 Touch Marketing,1239 NW 13th St Ste 300,9Boca Raton,9FL,9123 NW 13th St Ste 300,9United States,9561-368-5067,9MANAGEMENT CONSULTING SERVICES,"9202,800,000"
79482810,,10 Touch Marketing,12310 NW 13th St Ste 300,10Boca Raton,10FL,10123 NW 13th St Ste 300,10United States,10561-368-5067,10MANAGEMENT CONSULTING SERVICES,"10202,800,000"
79482811,,11 Touch Marketing,12311 NW 13th St Ste 300,11Boca Raton,11FL,11123 NW 13th St Ste 300,11United States,11561-368-5067,11MANAGEMENT CONSULTING SERVICES,"11202,800,000"
79482812,,12 Touch Marketing,12312 NW 13th St Ste 300,12Boca Raton,12FL,12123 NW 13th St Ste 300,12United States,12561-368-5067,12MANAGEMENT CONSULTING SERVICES,"12202,800,000"
79482813,,13 Touch Marketing,12313 NW 13th St Ste 300,13Boca Raton,13FL,13123 NW 13th St Ste 300,13United States,13561-368-5067,13MANAGEMENT CONSULTING SERVICES,"13202,800,000"
79482814,,14 Touch Marketing,12314 NW 13th St Ste 300,14Boca Raton,14FL,14123 NW 13th St Ste 300,14United States,14561-368-5067,14MANAGEMENT CONSULTING SERVICES,"14202,800,000"
79482815,,15 Touch Marketing,12315 NW 13th St Ste 300,15Boca Raton,15FL,15123 NW 13th St Ste 300,15United States,15561-368-5067,15MANAGEMENT CONSULTING SERVICES,"15202,800,000"
79482816,,16 Touch Marketing,12316 NW 13th St Ste 300,16Boca Raton,16FL,16123 NW 13th St Ste 300,16United States,16561-368-5067,16MANAGEMENT CONSULTING SERVICES,"16202,800,000"
79482817,,17 Touch Marketing,12317 NW 13th St Ste 300,17Boca Raton,17FL,17123 NW 13th St Ste 300,17United States,17561-368-5067,17MANAGEMENT CONSULTING SERVICES,"17202,800,000"
79482818,,18 Touch Marketing,12318 NW 13th St Ste 300,18Boca Raton,18FL,18123 NW 13th St Ste 300,18United States,18561-368-5067,18MANAGEMENT CONSULTING SERVICES,"18202,800,000"
79482819,,19 Touch Marketing,12319 NW 13th St Ste 300,19Boca Raton,19FL,19123 NW 13th St Ste 300,19United States,19561-368-5067,19MANAGEMENT CONSULTING SERVICES,"19202,800,000"
79482820,,20 Touch Marketing,12320 NW 13th St Ste 300,20Boca Raton,20FL,20123 NW 13th St Ste 300,20United States,20561-368-5067,20MANAGEMENT CONSULTING SERVICES,"20202,800,000"
79482821,,21 Touch Marketing,12321 NW 13th St Ste 300,21Boca Raton,21FL,21123 NW 13th St Ste 300,21United States,21561-368-5067,21MANAGEMENT CONSULTING SERVICES,"21202,800,000"
79482822,,22 Touch Marketing,12322 NW 13th St Ste 300,22Boca Raton,22FL,22123 NW 13th St Ste 300,22United States,22561-368-5067,22MANAGEMENT CONSULTING SERVICES,"22202,800,000"
79482823,,23 Touch Marketing,12323 NW 13th St Ste 300,23Boca Raton,23FL,23123 NW 13th St Ste 300,23United States,23561-368-5067,23MANAGEMENT CONSULTING SERVICES,"23202,800,000"
79482824,,24 Touch Marketing,12324 NW 13th St Ste 300,24Boca Raton,24FL,24123 NW 13th St Ste 300,24United States,24561-368-5067,24MANAGEMENT CONSULTING SERVICES,"24202,800,000"
