sid_unique_ID,domain,company,country,address,city,state,phone,sid_name,annual_sales
13713939,,BK LCD,555 9 Baekseok Dong Seobuk Gu,Chonan,,555 9 Baekseok Dong Seobuk Gu,Korea,+82 415290921,TELEPHONE & TELEGRAPH APPARATUS,"278,100,000"
14418921,,Black YAK,3/f Star Valley Bldg.,Seoul,,3/f Star Valley Bldg.,Korea,+82 220270814,"FABRICATED TEXTILE PRODUCTS, NEC","132,931,800"
22146316,,Bluebell,5/f Baekang Bldg.,Seoul,,5/f Baekang Bldg.,Korea,+82 234442203,"CLOTHING & FURNISHINGS, MEN'S & BOYS'","124,800,000"
26474791,,BNB Sungwon,740 Chonam Ri Gwangyang Eup,Kwangyang,,740 Chonam Ri Gwangyang Eup,Korea,+82 617971100,STEEL PIPES & TUBES,"109,869,300"
22146279,,Bohae Brewery,15 Daean Dong,Mokpo,,15 Daean Dong,Korea,+82 612433141,MALT BEVERAGES,"113,115,600"
13713685,,Bong Shin,530 Kajwa Dong Seo Gu,Inchon,,530 Kajwa Dong Seo Gu,Korea,+82 325908800,DEEP SEA FOREIGN TRANSPORT OF FREIGHT,"165,777,300"
13713833,,Booil Information Link Corp,46 4 Koje1 Dong Yonje Gu,Pusan,,46 4 Koje1 Dong Yonje Gu,Korea,+82 518502010,CONCRETE WORK CONTRACTORS,"404,976,000"
22146322,,Bookook Securities,34 2 Yeouido Dong Yeongdeungpo Gu,Seoul,,34 2 Yeouido Dong Yeongdeungpo Gu,Korea,+82 27841010,"SECURITY BROKERS, DLRS & FLOTATION COS","145,721,100"
13714124,,Bookook Steel,738 1 Ancheong Dong Gwangsan Gu,Kwangju,,738 1 Ancheong Dong Gwangsan Gu,Korea,+82 629543800,STEEL MILLS & BLAST FURNACES,"232,006,500"
14419040,,Booyoung,5/f Buyoung Bldg.,Seoul,,5/f Buyoung Bldg.,Korea,+82 237745500,"CONSTRUCTION, SINGLE-FAMILY HOUSES","119,392,000"
14418852,,Borneo International Furniture Co .,246 1 Gojan Dong Namdong Gu,Inchon,,246 1 Gojan Dong Namdong Gu,Korea,+82 28417771,WOOD OFFICE FURNITURE,"137,493,000"
13713561,,Boryung Medience,Boryung Bldg.,Seoul,,Boryung Bldg.,Korea,+82 27088300,"PERFUMES, COSMTICS, TOILET PREPARATIONS","164,312,100"
13713600,,BR,34 12 Yongseong Ri Samsong Myon,Umsong,,34 12 Yongseong Ri Samsong Myon,Korea,+82 438775031,ICE CREAM & FROZEN DESSERTS,"383,456,700"
14418847,,Bukwang Pharmaceutical,398 1 Daebang Dong Dongjak Gu,Seoul,,398 1 Daebang Dong Dongjak Gu,Korea,+82 28288114,"INDUSTRIAL INORGANIC CHEMICALS, NEC","162,558,900"
22146512,,Busan Kyungnam Milk Cooperative,954 1 Moohyun 4dong Nam Gu,Pusan,,954 1 Moohyun 4dong Nam Gu,Korea,+82 516341237,"DAIRY PRODUCTS, DRY: CONDENSED & EVAP","111,530,400"
14419067,,Busan Savings Bank,1146 6 Choryang Dong Dong Gu,Pusan,,1146 6 Choryang Dong Dong Gu,Korea,+82 512907000,"SAVINGS BANKS, NOT FEDERALLY CHARTERED","367,910,100"
14418884,,BYC,1104 1 Daerim Dong Youngdeungpo Gu,Seoul,,1104 1 Daerim Dong Youngdeungpo Gu,Korea,+82 28403175,"UNDERWEAR & NIGHTWEAR, MEN'S & BOYS'","185,328,900"
26215932,,C-Motech,4 5/f Wooje Bldg.,Seoul,,4 5/f Wooje Bldg.,Korea,+82 23689824,"COMMUNICATIONS EQUIPMENT, NEC","122,411,700"
13713715,,Cammsys Corp,11 82 83 Songdo Dong Yeonsu Gu,Inchon,,11 82 83 Songdo Dong Yeonsu Gu,Korea,+82 328144846,"SPECIAL DIES, TOOLS, DIE SET/JIGS/MOLDS","131,074,200"
13713417,,Canon Korea Business Solutions,168 12 Samseong Dong Gangnam Gu,Seoul,,168 12 Samseong Dong Gangnam Gu,Korea,+82 261820575,"OFFICE MACHINES, NEC","477,816,300"
22146424,,Catholic University of Korea Kangnam ST. Mary's Hospital,505 Banpo Dong Seocho Gu,Seoul,,505 Banpo Dong Seocho Gu,Korea,+82 25901114,GENERAL MEDICAL & SURGICAL HOSPITALS,"416,000,000"
22146426,,Catholic University of Korea ST. Mary's Hospital,62 Yeouido Dong Yeongdeungpo Gu,Seoul,,62 Yeouido Dong Yeongdeungpo Gu,Korea,+82 237791114,GENERAL MEDICAL & SURGICAL HOSPITALS,"347,360,000"
25945133,,CBD,Rm 1312 Sj Technovill,Seoul,,Rm 1312 Sj Technovill,Korea,+82 233970841,"BUSINESS SERVICES, NEC","104,000,000"
13685757,,Central Motek,10 2 Jookgok Ri Jinyoung Eup,Kimhae,,10 2 Jookgok Ri Jinyoung Eup,Korea,+82 553459360,MOTOR VEHICLE PARTS & ACCESSORIES,"224,961,300"
18505803,,Cesco,Sesco Bldg.,Seoul,,Sesco Bldg.,Korea,+82 221400100,"REPAIR SHOPS & RELATED SERVICES, NEC","276,640,000"
13714008,,Chang Shin,558 Sinpyeong Dong Saha Gu,Pusan,,558 Sinpyeong Dong Saha Gu,Korea,+82 519608800,RUBBER & PLASTICS FOOTWEAR,"456,105,600"
22139883,,Cheju National University Hospital,154 Samdo2 Dong,Cheju,,154 Samdo2 Dong,Korea,+82 647501234,GENERAL MEDICAL & SURGICAL HOSPITALS,"108,576,000"
14419007,,Chemtronics,167 8 Chungsong Ri Jeondong Myeon,Yongi,,167 8 Chungsong Ri Jeondong Myeon,Korea,+82 418683011,ELECTRON TUBES,"165,971,700"
18481319,,Cheongwoo Tech,816 6 Osikdo Dong,Kunsan,,816 6 Osikdo Dong,Korea,+82 634648200,PRIMARY COPPER,"279,963,000"
13713585,,Chokwang Jotun,1205 Jisa Dong Gangseo Gu,Pusan,,1205 Jisa Dong Gangseo Gu,Korea,+82 553856600,INORGANIC PIGMENTS,"184,986,900"
